model,dataset,dataset_type,iteration,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,dimensions,emissions_kg,duration,n_parameters,project_id,ready,data_quality_dimension,data_quality_dimension_percentage,experiment_method,datapoint_w,datapoint_h,model_type,experiment
RESNET,PhalangesOutlinesCorrect,time_series,2,0.8419840335845947,0.7948718070983887,0.8419840335845947,1.0,1.0,0.7948718070983887,0.7948718070983887,0.8657364845275879,0.7948718667030334,262,1624,0.9022222222222224,1800,Image,2,1,0.0008695825277009,125.25695395469666,506818,23418faa-1667-45b6-b7c3-6ff6fc13d14c,True,completeness,0.9,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,2,0.6837063431739807,0.810023307800293,0.6837063431739807,1.0,1.0,0.810023307800293,0.810023307800293,0.8765139579772949,0.810023307800293,255,1423,0.7905555555555556,1800,Image,2,1,0.0006178529574576,90.8346598148346,506818,a728ad0a-72ae-4023-9780-ad55c8b57444,True,completeness,0.8,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,2,0.7291172742843628,0.807692289352417,0.7291172742843628,1.0,1.0,0.807692289352417,0.807692289352417,0.885927677154541,0.807692289352417,293,1274,0.7077777777777777,1800,Image,2,1,0.0007589271164947,109.27334761619568,506818,c110cc92-0d31-4c67-85b2-c2d85094cc98,True,completeness,0.7,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,2,0.6806606650352478,0.7960373163223267,0.6806606650352478,1.0,1.0,0.7960373163223267,0.7960373163223267,0.8468798995018005,0.7960373163223267,305,1074,0.5966666666666667,1800,Image,2,1,0.0007003363729253,103.40741729736328,506818,749a1af1-cd56-4d4a-b04c-1ed48a2e7527,True,completeness,0.6,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,2,0.7211087346076965,0.751748263835907,0.7211087346076965,1.0,1.0,0.751748263835907,0.751748263835907,0.8314560055732727,0.751748263835907,236,923,0.5127777777777778,1800,Image,2,1,0.0005085542670058,71.22781753540039,506818,93d37da3-9aa3-403c-a650-089997aef380,True,completeness,0.5,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,2,0.9896289110183716,0.745920717716217,0.9896289110183716,1.0,1.0,0.745920717716217,0.745920717716217,0.8082988858222961,0.745920717716217,245,708,0.3933333333333333,1800,Image,2,1,0.0004279351077945,60.4932005405426,506818,0a1fb08b-58ea-4e55-a029-330909768e4f,True,completeness,0.4,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,2,0.8608829379081726,0.7855477929115295,0.8608829379081726,1.0,1.0,0.7855477929115295,0.7855477929115295,0.8501617908477783,0.7855477929115295,402,556,0.3088888888888889,1800,Image,2,1,0.0005818311231693,89.95711898803711,506818,c81e071b-13e1-4ab5-a5c6-1a8baf090dbe,True,completeness,0.3,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,2,1.0266541242599487,0.6993007063865662,1.0266541242599487,1.0,1.0,0.6993007063865662,0.6993007063865662,0.7595432996749878,0.6993007063865662,363,356,0.1977777777777777,1800,Image,2,1,0.000433457465238,77.43005585670471,506818,b523619e-f40d-4a41-875a-b02ac044844b,True,completeness,0.2,uniform,80,1,RESNET,e11
RESNET,StarLightCurves,time_series,2,0.1443581581115722,0.9746236205101012,0.1443581581115722,1.0,1.0,0.9746236205101012,0.9746236205101012,0.991804540157318,0.9746236205101012,532,902,0.902,1000,Sensor,3,1,0.0064707319417697,937.2140107154846,506947,f357aa1e-f14c-4967-a1b7-b33731478175,True,completeness,0.9,uniform,1024,1,RESNET,e11
FCN,ChlorineConcentration,time_series,4,0.9091367721557616,0.7401041388511658,0.9091367721557616,1.0,1.0,0.7496656775474548,0.7299479246139526,0.8768002986907959,0.740104079246521,455,426,0.91220556745182,467,Sensor,3,1,0.00064761322801,119.17430090904236,266115,1b1dc9fe-aafd-4c76-8aa5-da1f24000add,True,completeness,0.9,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,3,0.7078099846839905,0.7328125238418579,0.7078099846839905,1.0,1.0,0.7580690383911133,0.7033854126930237,0.8765389323234558,0.7328125238418579,407,370,0.7922912205567452,467,Sensor,3,1,0.0004610935815668,86.25845766067505,266115,44a25e2d-bd43-4e89-8cfc-f372c9f4dfde,True,completeness,0.8,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,3,0.7721906900405884,0.7054687738418579,0.7721906900405884,1.0,1.0,0.7326218485832214,0.6614583134651184,0.8565511703491211,0.7054687738418579,436,321,0.6873661670235546,467,Sensor,3,1,0.0004671653447922,70.37815046310425,266115,4958e061-cfc9-4795-806c-e9621c2b488a,True,completeness,0.7,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,3,1.2056647539138794,0.6617187261581421,1.2056647539138794,1.0,1.0,0.6716095805168152,0.6486979126930237,0.8091989755630493,0.6617187261581421,535,272,0.582441113490364,467,Sensor,3,1,0.0004959411711037,90.87837600708008,266115,9e7e4a5a-945b-45e6-b8c9-77b2361937f7,True,completeness,0.6,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,3,1.1215591430664062,0.647656261920929,1.1215591430664062,1.0,1.0,0.6624484062194824,0.6270833611488342,0.7924401164054871,0.647656261920929,476,219,0.4689507494646681,467,Sensor,3,1,0.0003676851846904,68.72968864440918,266115,aaa05c1b-f7ba-4d2b-9d08-fdc22e0f4fc9,True,completeness,0.5,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,3,1.0933048725128174,0.4325520694255829,1.0933048725128174,1.0,1.0,0.0,0.0,0.6238241791725159,0.4325520694255829,241,194,0.4154175588865096,467,Sensor,3,1,0.0001695873448157,33.05631422996521,266115,b278b834-e6de-4c8d-901e-2b6dc8eff846,True,completeness,0.4,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,3,1.074779987335205,0.5510416626930237,1.074779987335205,1.0,1.0,0.5665399432182312,0.5044270753860474,0.7067282199859619,0.5510416626930237,299,149,0.3190578158458244,467,Sensor,3,1,0.0001963360461564,38.659093141555786,266115,e2ae485e-9c6f-4588-9359-ce30e5f762cd,True,completeness,0.3,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,3,1.660119891166687,0.5093749761581421,1.660119891166687,1.0,1.0,0.517166793346405,0.4981770813465118,0.6877852082252502,0.5093749761581421,472,97,0.2077087794432548,467,Sensor,3,1,0.0002892286602036,58.28504538536072,266115,7f313f76-6180-4da6-b5df-e68b817b970a,True,completeness,0.2,uniform,166,1,SIMPLE_CNN,e11
RESNET,PhalangesOutlinesCorrect,time_series,3,0.8495049476623535,0.8403263688087463,0.8495049476623535,1.0,1.0,0.8403263688087463,0.8403263688087463,0.8963471055030823,0.8403263688087463,354,1600,0.8888888888888888,1800,Image,2,1,0.0011531743304,166.20557522773743,506818,9d99575c-9033-4ad9-81f3-d5947b4284ea,True,completeness,0.9,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,3,1.003529667854309,0.7599067687988281,1.003529667854309,1.0,1.0,0.7599067687988281,0.7599067687988281,0.8221177458763123,0.7599068284034729,273,1445,0.8027777777777778,1800,Image,2,1,0.0007623835676704,118.36756563186646,506818,22ff45b4-9ea6-4af1-8789-67e7addf41e4,True,completeness,0.8,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,3,0.7419356107711792,0.811188817024231,0.7419356107711792,1.0,1.0,0.811188817024231,0.811188817024231,0.8733258247375488,0.811188817024231,307,1269,0.705,1800,Image,2,1,0.0007539508795453,115.82201075553894,506818,f25b4f1f-88f5-4e0a-b5db-5c97ebcd18f7,True,completeness,0.7,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,3,0.769205629825592,0.8170163035392761,0.769205629825592,1.0,1.0,0.8170163035392761,0.8170163035392761,0.8842913508415222,0.8170163035392761,280,1045,0.5805555555555556,1800,Image,2,1,0.0006172962940435,91.652414560318,506818,51336862-33e4-4e69-a126-d3a4a7cfbc7c,True,completeness,0.6,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,3,1.1195768117904663,0.7296037077903748,1.1195768117904663,1.0,1.0,0.7296037077903748,0.7296037077903748,0.7961868047714233,0.7296037077903748,227,896,0.4977777777777777,1800,Image,2,1,0.0004414294193011,66.56811022758484,506818,ec687445-9d7f-4c59-8158-c34b62f457fe,True,completeness,0.5,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,3,1.5002812147140503,0.688811182975769,1.5002812147140503,1.0,1.0,0.688811182975769,0.688811182975769,0.7458746433258057,0.688811182975769,585,722,0.4011111111111111,1800,Image,2,1,0.0009418608777432,139.94266939163208,506818,c2450870-4145-4e04-b924-a3db60078c77,True,completeness,0.4,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,3,0.8775325417518616,0.7715617418289185,0.8775325417518616,1.0,1.0,0.7715617418289185,0.7715617418289185,0.8423000574111938,0.7715617418289185,479,535,0.2972222222222222,1800,Image,2,1,0.0006988288259835,106.116539478302,506818,4b356e57-bcc8-4383-995e-f5f3f75e9d83,True,completeness,0.3,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,3,0.6005229353904724,0.7307692170143127,0.6005229353904724,1.0,1.0,0.7307692170143127,0.7307692170143127,0.8034276366233826,0.7307692170143127,223,367,0.2038888888888889,1800,Image,2,1,0.0002984543101461,49.81091022491455,506818,85d9da3f-4aaf-44a2-99ef-dffa6fa1c73d,True,completeness,0.2,uniform,80,1,RESNET,e11
RESNET,StarLightCurves,time_series,3,0.1181892603635788,0.972923755645752,0.1181892678141594,1.0,1.0,0.972923755645752,0.972923755645752,0.992846667766571,0.972923755645752,292,897,0.897,1000,Sensor,3,1,0.003602075826119,527.2451677322388,506947,dd96b820-dc3d-4221-8fbf-799b7c8fee2b,True,completeness,0.9,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,2,0.1064552292227745,0.9714667201042176,0.1064552292227745,1.0,1.0,0.971584677696228,0.9714667201042176,0.9942777156829834,0.9714667201042176,545,788,0.788,1000,Sensor,3,1,0.0060268526887906,865.9748632907867,506947,bb7145ff-3018-4806-9ace-3afe3b23df43,True,completeness,0.8,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,1,0.1502273380756378,0.9661243557929992,0.1502273380756378,1.0,1.0,0.9662416577339172,0.9661243557929992,0.991001844406128,0.9661243557929992,479,712,0.712,1000,Sensor,3,1,0.0046965611108367,681.4560322761536,506947,3a742cb1-2bcf-4604-85c1-322477fe2215,True,completeness,0.7,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,1,0.1787873655557632,0.9452403783798218,0.1787873655557632,1.0,1.0,0.9454633593559264,0.9451189637184144,0.9890952110290528,0.9452403783798218,370,584,0.584,1000,Sensor,3,1,0.0030892821026339,445.6104216575623,506947,cb6a9f7a-b378-45b2-8d62-4665b7f61693,True,completeness,0.6,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,1,0.1490903347730636,0.9524040818214417,0.1490903347730636,1.0,1.0,0.9529712200164796,0.9521612524986268,0.9919382333755492,0.9524040818214417,557,504,0.504,1000,Sensor,3,1,0.0039628848575256,588.2029957771301,506947,91e02e6b-1a3e-499a-a928-6b270997430c,True,completeness,0.5,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,1,0.2477826625108719,0.9463331699371338,0.2477826625108719,1.0,1.0,0.9464415907859802,0.9462117552757264,0.9865154027938844,0.9463331699371338,508,406,0.406,1000,Sensor,3,1,0.0029745524278323,439.751713514328,506947,56e3144e-cd94-4f89-b2c1-0264534e24cd,True,completeness,0.4,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,1,0.280094712972641,0.9076007604599,0.280094712972641,1.0,1.0,0.9078100323677064,0.9074793457984924,0.9825721383094788,0.9076007008552552,411,283,0.283,1000,Sensor,3,1,0.0018046936826696,259.49001812934875,506947,93b15cf2-98de-4784-a565-b30c17462993,True,completeness,0.3,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,1,0.1654529124498367,0.9604176878929138,0.1654529124498367,1.0,1.0,0.9605151414871216,0.959932029247284,0.9906545877456664,0.9604176878929138,510,201,0.201,1000,Sensor,3,1,0.0016438699214692,240.40809226036072,506947,27e1039c-785a-426f-9fc2-2e626667b55a,True,completeness,0.2,uniform,1024,1,RESNET,e11
FCN,ChlorineConcentration,time_series,4,0.7860826253890991,0.7406250238418579,0.7860826253890991,1.0,1.0,0.753513514995575,0.7260416746139526,0.8755601048469543,0.7406250834465027,557,394,0.8436830835117773,467,Sensor,3,1,0.0006973557988805,122.52666664123537,266115,4b27193b-d748-42f7-8f68-bb69556e249e,True,completeness,0.8,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,4,0.8881299495697021,0.6020833253860474,0.8881299495697021,1.0,1.0,0.6488345265388489,0.442187488079071,0.7727787494659424,0.6020833253860474,307,343,0.734475374732334,467,Sensor,3,1,0.0003530281783775,63.02547788619995,266115,b1a7c4ac-cbbe-42ab-8abf-4b8cb49a1890,True,completeness,0.7,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,4,0.9936266541481018,0.565625011920929,0.9936266541481018,1.0,1.0,0.5685852766036987,0.5505208373069763,0.7146439552307129,0.565625011920929,274,285,0.6102783725910065,467,Sensor,3,1,0.0002274432569946,38.305848121643066,266115,3abe51bd-6785-4b44-bd2c-2cf08a831f1a,True,completeness,0.6,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,4,0.96713787317276,0.5346354246139526,0.96713787317276,1.0,1.0,0.5856621861457825,0.3765625059604645,0.7161282300949097,0.5346354246139526,290,237,0.5074946466809421,467,Sensor,3,1,0.0002487769891143,43.11872267723084,266115,ec2f1e16-9987-4648-b2c5-40839ac875d6,True,completeness,0.5,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,4,1.079865336418152,0.4992187619209289,1.079865336418152,1.0,1.0,0.5275214910507202,0.4317708313465118,0.6995496153831482,0.4992187619209289,375,179,0.3832976445396145,467,Sensor,3,1,0.0002639079346321,47.5264356136322,266115,15ea5699-cef8-43b1-ab4c-f111741e7b4f,True,completeness,0.4,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,4,1.2348307371139526,0.3505208194255829,1.2348307371139526,1.0,1.0,0.364376425743103,0.2914062440395355,0.5932906270027161,0.3505208194255829,318,130,0.278372591006424,467,Sensor,3,1,0.0001601937925951,29.58382821083069,266115,ec78e458-3a94-4113-8644-146d669a7580,True,completeness,0.3,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,4,2.668820858001709,0.5143229365348816,2.668820858001709,1.0,1.0,0.5181818008422852,0.504687488079071,0.6752254962921143,0.5143229365348816,642,91,0.1948608137044968,467,Sensor,3,1,0.0003204389329761,64.06987047195435,266115,51e61a40-157d-4b8c-a332-9d7e8941cbad,True,completeness,0.2,uniform,166,1,SIMPLE_CNN,e11
RESNET,PhalangesOutlinesCorrect,time_series,4,0.6019702553749084,0.7937062978744507,0.6019702553749084,1.0,1.0,0.7937062978744507,0.7937062978744507,0.8646829724311829,0.7937063574790955,231,1605,0.8916666666666667,1800,Image,2,1,0.0007243646622682,106.11161613464355,506818,77ac9ea7-572f-45af-a717-f6094b43ab38,True,completeness,0.9,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,4,0.6523212790489197,0.8228438496589661,0.6523212790489197,1.0,1.0,0.8228438496589661,0.8228438496589661,0.8854344487190247,0.8228438496589661,283,1440,0.8,1800,Image,2,1,0.0007954796788478,118.94343304634094,506818,e055603c-824c-4fde-b0bc-c720589588dd,True,completeness,0.8,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,4,0.6467918157577515,0.808857798576355,0.6467918157577515,1.0,1.0,0.808857798576355,0.808857798576355,0.874805748462677,0.808857798576355,230,1261,0.7005555555555556,1800,Image,2,1,0.0005546867337873,85.89842915534973,506818,6c87f48c-6f70-4a2d-81eb-2297ffaf1ddf,True,completeness,0.7,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,4,0.6732311248779297,0.7843822836875916,0.6732311248779297,1.0,1.0,0.7843822836875916,0.7843822836875916,0.8594769239425659,0.7843823432922363,292,1077,0.5983333333333334,1800,Image,2,1,0.0006623986562347,94.42555212974548,506818,b1b703f7-5dd9-4f22-8ada-9cdca7580885,True,completeness,0.6,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,4,0.5635682940483093,0.7960373163223267,0.5635682940483093,1.0,1.0,0.7960373163223267,0.7960373163223267,0.8694706559181213,0.7960373163223267,300,938,0.5211111111111111,1800,Image,2,1,0.0006276049474764,91.02489471435548,506818,7d2b1ce9-580a-4bbd-b9d9-8a26f407677f,True,completeness,0.5,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,4,0.9096490740776062,0.7983682751655579,0.9096490740776062,1.0,1.0,0.7983682751655579,0.7983682751655579,0.866054356098175,0.7983682751655579,304,680,0.3777777777777777,1800,Image,2,1,0.0004524287047154,68.19944834709167,506818,83df49f9-3fe5-4b2f-bf38-6976e49d995e,True,completeness,0.4,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,4,0.6852127313613892,0.7622377872467041,0.6852127313613892,1.0,1.0,0.7622377872467041,0.7622377872467041,0.8263320922851562,0.7622378468513489,294,542,0.3011111111111111,1800,Image,2,1,0.0004078879339163,63.76222205162048,506818,30454de6-b1ff-46ce-8a40-43e91f62a923,True,completeness,0.3,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,4,0.7458226680755615,0.7132866978645325,0.7458226680755615,1.0,1.0,0.7132866978645325,0.7132866978645325,0.7885158658027649,0.7132866978645325,250,328,0.1822222222222222,1800,Image,2,1,0.0002971328402964,53.054513931274414,506818,3c55ec63-0e18-4fd6-988c-d6c8270547c0,True,completeness,0.2,uniform,80,1,RESNET,e11
RESNET,StarLightCurves,time_series,4,0.1557227522134781,0.968431293964386,0.1557227522134781,1.0,1.0,0.9685450792312622,0.9683098793029784,0.9915260076522828,0.968431293964386,551,887,0.887,1000,Sensor,3,1,0.0067389732616736,976.2807867527008,506947,0ac7a17f-678f-480d-957c-98c42cc30b8b,True,completeness,0.9,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,3,0.1200538352131843,0.9709810614585876,0.1200538352131843,1.0,1.0,0.9712098836898804,0.9707382321357728,0.9925405979156494,0.9709810614585876,327,809,0.809,1000,Sensor,3,1,0.0037234515211845,533.7780668735504,506947,fc0db0ee-37e6-4f02-acd8-f5f8f509a33d,True,completeness,0.8,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,2,0.145877793431282,0.9647887349128724,0.145877793431282,1.0,1.0,0.9647844433784484,0.9646673202514648,0.991624355316162,0.9647887349128724,377,697,0.697,1000,Sensor,3,1,0.0036154547726979,531.2369904518127,506947,94146ca1-b74a-46b9-9fbf-114290cc5ec5,True,completeness,0.7,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,2,0.1782470792531967,0.963088870048523,0.1782470792531967,1.0,1.0,0.963088870048523,0.963088870048523,0.9902322888374328,0.963088870048523,677,607,0.607,1000,Sensor,3,1,0.0057553606107773,833.1104559898376,506947,fc36442c-100d-4345-97b9-e1296af4c629,True,completeness,0.6,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,2,0.1710697412490844,0.9486401081085204,0.1710697412490844,1.0,1.0,0.9488705396652222,0.9486401081085204,0.9905723333358764,0.9486401081085204,379,468,0.468,1000,Sensor,3,1,0.0025606513845253,370.22132992744446,506947,de90f6e6-a457-4264-95b6-fd645a147ca0,True,completeness,0.5,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,2,0.1697735339403152,0.9677027463912964,0.1697735339403152,1.0,1.0,0.9676949381828308,0.9674599170684814,0.9904292821884156,0.9677027463912964,516,401,0.401,1000,Sensor,3,1,0.0029640787910763,432.5741147994995,506947,e20e42d8-c46c-4d87-b93f-578f4d56325e,True,completeness,0.4,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,2,0.1969537287950515,0.9663671851158142,0.1969537287950515,1.0,1.0,0.9664804339408876,0.9662457704544068,0.9890570640563964,0.9663671851158142,640,319,0.319,1000,Sensor,3,1,0.0029564256957481,441.24533200263977,506947,0c3b6e8d-3723-4e1e-ae5a-e7108f7f3316,True,completeness,0.3,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,2,0.3062464296817779,0.912093222141266,0.3062464296817779,1.0,1.0,0.9124042987823486,0.9118503928184508,0.9804702401161194,0.912093222141266,409,206,0.206,1000,Sensor,3,1,0.0013294066690156,202.23762488365173,506947,4fa730ef-b577-473a-a9f5-99ae2f5e683d,True,completeness,0.2,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,4,0.1071012392640113,0.9752306938171388,0.1071012392640113,1.0,1.0,0.9753401279449464,0.9748664498329164,0.9938212037086488,0.9752306938171388,327,815,0.815,1000,Sensor,3,1,0.0037035763455882,535.6739406585693,506947,9bfe9b1c-bbda-47ff-9f9d-8f9238e5549d,True,completeness,0.8,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,3,0.1256199777126312,0.9738950729370116,0.1256199777126312,1.0,1.0,0.9738950729370116,0.9738950729370116,0.9923139810562134,0.9738950729370116,492,684,0.684,1000,Sensor,3,1,0.0046381718510469,677.2972202301025,506947,c6b78932-0a51-4f5a-a8a1-1855a845ac97,True,completeness,0.7,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,3,0.1548307538032531,0.9636959433555604,0.1548307538032531,1.0,1.0,0.9640383720397948,0.9634531140327454,0.9893033504486084,0.9636959433555604,415,567,0.567,1000,Sensor,3,1,0.0033364631571739,488.1222007274628,506947,1f56f989-57b4-4306-b4be-da2015f73284,True,completeness,0.6,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,4,0.1488061398267746,0.9708596467971802,0.1488061398267746,1.0,1.0,0.9708561301231384,0.9707382321357728,0.992052972316742,0.9708596467971802,553,687,0.687,1000,Sensor,3,1,0.0053134648448297,782.7042746543884,506947,362ce1f8-34e1-4175-8bd7-f19be5fbc728,True,completeness,0.7,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,4,0.1262597888708114,0.968431293964386,0.1262597888708114,1.0,1.0,0.9687841534614564,0.968431293964386,0.992018461227417,0.968431293964386,608,612,0.612,1000,Sensor,3,1,0.0052776927100057,767.9701619148254,506947,a8abb540-1b6c-4945-ad1e-62f095db186f,True,completeness,0.6,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,3,0.1374721974134445,0.9687955379486084,0.1374721974134445,1.0,1.0,0.9687955379486084,0.9687955379486084,0.9919970631599426,0.9687955379486084,458,490,0.49,1000,Sensor,3,1,0.0032139356937342,464.6259264945984,506947,75689351-5f45-4bdc-b9a2-5b3868aab31e,True,completeness,0.5,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,3,0.1251917034387588,0.9680670499801636,0.1251917034387588,1.0,1.0,0.968290627002716,0.9677027463912964,0.9936288595199584,0.9680670499801636,909,384,0.384,1000,Sensor,3,1,0.0051597353405747,746.8713965415955,506947,b979d3f9-38ad-475d-a676-2feeec9e1a18,True,completeness,0.4,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,3,0.1831836104393005,0.937348246574402,0.1831836104393005,1.0,1.0,0.937560737133026,0.9371054172515868,0.9887551069259644,0.937348246574402,481,265,0.265,1000,Sensor,3,1,0.0020231328994968,297.482622385025,506947,84021d21-989f-4ede-996a-b96ebb8a13a9,True,completeness,0.3,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,3,0.2866218686103821,0.9423263669013976,0.2866218686103821,1.0,1.0,0.9434375166893004,0.9417192935943604,0.9815514087677002,0.9423263669013976,334,196,0.196,1000,Sensor,3,1,0.0011503659072529,164.82666945457458,506947,0d045e0a-2c5d-4cb6-9792-05fcc6f85ed8,True,completeness,0.2,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,4,0.2024707943201065,0.931034505367279,0.2024707943201065,1.0,1.0,0.9317767024040222,0.9303059577941896,0.987671673297882,0.931034505367279,370,499,0.499,1000,Sensor,3,1,0.0026816931058241,390.32847332954407,506947,bef1cab9-3e26-4b31-ae8e-a957110b97c0,True,completeness,0.5,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,4,0.1490115821361541,0.962360382080078,0.1490115821361541,1.0,1.0,0.962701976299286,0.9621175527572632,0.9910370707511902,0.962360382080078,936,393,0.393,1000,Sensor,3,1,0.0053976750145382,773.5952701568604,506947,0913f067-aa79-4356-883e-5b9b17442903,True,completeness,0.4,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,4,0.1575678288936615,0.9696454405784608,0.1575678288936615,1.0,1.0,0.969995141029358,0.9695240259170532,0.9906760454177856,0.9696455001831056,427,280,0.28,1000,Sensor,3,1,0.0017419017224829,258.1836428642273,506947,983a2439-2646-4e4b-979e-d315dcbaaa98,True,completeness,0.3,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,4,0.1911518573760986,0.955925226211548,0.1911518573760986,1.0,1.0,0.9563791155815125,0.9556823968887328,0.9899228811264038,0.955925226211548,542,219,0.219,1000,Sensor,3,1,0.0019697725121443,287.59008145332336,506947,d55f0bf6-e813-42d9-a563-01d9e36a4874,True,completeness,0.2,uniform,1024,1,RESNET,e11
